flowInd	%dir	timeFirst	l4Proto	tcpFlags	srcIP	dstIP	srcPort	dstPort
248	A	1722698063.390524000	17	0x0000	192.168.1.197	239.255.255.250	49724	15600
249	A	1722698064.091153000	17	0x0000	192.168.1.1	239.255.255.250	36603	1900
250	A	1722698064.841909000	17	0x0000	192.168.1.1	239.255.255.250	38297	1900
251	A	1722698066.433036000	17	0x0000	192.168.1.200	8.8.8.8	49694	53
251	B	1722698066.498938000	17	0x0000	8.8.8.8	192.168.1.200	53	49694
252	A	1722698066.458701000	17	0x0000	192.168.1.197	192.168.1.255	47894	15600
49	A	1722697825.502184000	17	0x0000	192.168.1.214	224.0.0.251	5353	5353
50	A	1722697825.502671000	17	0x0000	fe80::bcdb:9bc3:9f17:65b1	ff02::fb	5353	5353
253	A	1722698069.374483000	17	0x0000	192.168.1.197	239.255.255.250	36941	15600
254	A	1722698072.398278000	17	0x0000	192.168.1.197	192.168.1.255	54630	15600
255	A	1722698074.095475000	17	0x0000	192.168.1.1	239.255.255.250	41993	1900
256	A	1722698074.841596000	17	0x0000	192.168.1.1	239.255.255.250	54823	1900
257	A	1722698075.375718000	17	0x0000	192.168.1.197	239.255.255.250	40340	15600
2	A	1722697779.437234000	0	0x0000	-	-	0	0
3	A	1722697779.438755000	0	0x0000	-	-	0	0
258	A	1722698077.465669000	17	0x0000	192.168.1.200	8.8.8.8	64781	53
258	B	1722698077.474419000	17	0x0000	8.8.8.8	192.168.1.200	53	64781
259	A	1722698078.439893000	17	0x0000	192.168.1.197	192.168.1.255	50406	15600
260	A	1722698081.376800000	17	0x0000	192.168.1.197	239.255.255.250	45849	15600
261	A	1722698084.481641000	17	0x0000	192.168.1.197	192.168.1.255	59667	15600
262	A	1722698085.093444000	17	0x0000	192.168.1.1	239.255.255.250	42977	1900
263	A	1722698085.851019000	17	0x0000	192.168.1.1	239.255.255.250	52737	1900
264	A	1722698087.377552000	17	0x0000	192.168.1.197	239.255.255.250	41432	15600
265	A	1722698088.479275000	17	0x0000	192.168.1.200	8.8.8.8	49382	53
265	B	1722698088.524771000	17	0x0000	8.8.8.8	192.168.1.200	53	49382
266	A	1722698090.421076000	17	0x0000	192.168.1.197	192.168.1.255	37521	15600
267	A	1722698093.379365000	17	0x0000	192.168.1.197	239.255.255.250	54872	15600
268	A	1722698095.091789000	17	0x0000	192.168.1.1	239.255.255.250	51556	1900
269	A	1722698095.853166000	17	0x0000	192.168.1.1	239.255.255.250	52855	1900
270	A	1722698096.462669000	17	0x0000	192.168.1.197	192.168.1.255	51297	15600
271	A	1722698099.379804000	17	0x0000	192.168.1.197	239.255.255.250	41094	15600
